M, Cohen, Frédéric, M9, 5639
M, Rossignol, Jean, ELITE_2, 10487
M, Marais, Alexis, M8, 4912
M, Vaillant, Claude, M8, 10030
M, Cornu, Serge, M5, 9507
M, Vilain, Jacques, M1, 9269
M, Sergent, Julien, M8, 8390
M, Canu, Georges, M5, 8421
M, Compagnon, Benoît, M8, 10392
M, Delacour, Jean-Pierre, M8, 8132
M, Gabriel, Xavier, M6, 4087
M, Rabier, Gérard, M8, 9809
M, Delacour, Guillaume, M6, 9628
M, Hardouin, Jean-François, M9, 10024
M, Delhaye, Emile, ELITE_2, 7357
M, Schwartz, Jean-Luc, ELITE_1, 6905
M, Savin, Roland, M6, 9433
M, Courtin, Hervé, M3, 5718
M, Chevrier, Louis, M2, 5371
M, Grand, Jean, M7, 10767
M, Cohen, Frédéric, M1, 7956
M, Peter, Christian, M8, 7239
M, Tavernier, Bernard, M5, 9450
M, Santoni, Alain, M2, 7326
M, Declercq, Georges, ELITE_1, 6541
M, Baud, David, M5, 4073
M, Levesque, Guy, M7, 4401
M, Duflot, Cédric, M3, 6329
M, Grignon, Kevin, ELITE_1, 9058
M, Taupin, Jean-Luc, M1, 10741
M, Pierron, Jean-Michel, M9, 4791
M, Duvivier, Fabrice, M4, 6780
M, Legrand, Charles, M4, 8790
M, Mathis, Joël, ELITE_2, 3678
M, Mille, Maurice, M9, 4079
M, Durant, Maurice, ELITE_2, 8207
M, Giry, Bruno, M6, 8934
M, Allart, Adrien, M8, 4229
M, Perez, Alain, M2, 10574
M, Bonnot, Yves, M9, 10577
M, Marot, Maxime, M1, 4834
M, Leblanc, Francis, M4, 5549
M, Blais, Joël, M6, 10244
M, Henaff, Claude, M1, 6334
M, Baudin, François, M4, 8741
M, Berry, Yves, M4, 7430
M, Lescure, Raymond, M8, 7930
M, Le, Jonathan, M3, 5979
M, Pinson, Richard, M9, 8541
M, Poirier, Florian, M5, 7396
M, Chartier, Sébastien, M2, 10348
M, Barbet, Olivier, M3, 9562
M, Perret, Guy, M2, 10679
M, Delplanque, François, ELITE_1, 7341
M, Bourcier, Michel, M1, 8382
M, Ruiz, René, ELITE_1, 6961
M, Busson, Robert, M1, 5918
M, Sellier, Jean-Paul, M5, 4806
M, Gressier, Richard, M2, 9210
M, Kohler, Albert, ELITE_2, 5312
M, Fontaine, Xavier, M5, 7329
M, Laborde, Thomas, M9, 7871
M, Parisot, Emile, ELITE_1, 4747
M, Michelet, Philippe, M3, 8630
M, Hery, Dominique, M4, 5547
M, Delcroix, Bruno, M9, 6263
M, Goetz, Sylvain, M7, 4007
M, Harel, Antoine, M3, 6330
M, Fontaine, Jean-François, M6, 4532
M, Gayet, Roger, M8, 6490
M, Marie, Jérôme, M8, 9104
M, Faivre, Gérard, M8, 7675
M, Camus, Florian, M3, 5796
M, Decroix, Nicolas, M3, 6924
M, Denys, Olivier, M9, 7965
M, Molinier, Damien, M5, 3813
M, Raymond, Cyril, M4, 3914
M, Bordas, Joël, M6, 9576
M, Maury, Denis, M3, 9422
M, Quere, Jean-Luc, ELITE_2, 5376
M, Bergeret, Jean-Claude, M4, 7760
M, Olive, Albert, M8, 4836
M, Duez, Jérémy, ELITE_2, 4181
M, Santos, Fabrice, M3, 7377
M, Burel, Guillaume, M5, 4586
M, Jaffre, René, M6, 5406
M, Couret, Daniel, M9, 4070
M, Letellier, Mickaël, M2, 5337
M, Joly, Vincent, M6, 7532
M, Lefrancois, Robert, M4, 7582
M, Gonzalez, Raymond, M4, 5071
M, Salmon, Marc, M6, 10065
M, Guy, Hervé, M8, 7292
M, Pastor, Claude, M6, 6698
M, Philibert, Jérôme, M4, 6024
M, Cros, Richard, M9, 8548
M, Lebreton, Emmanuel, M8, 8250
M, Saillard, Didier, M8, 5770
M, Lucas, Michel, M4, 8574
M, Tran, Roland, M7, 9350
M, Ducrot, Damien, M3, 9132
M, Rossignol, Jean, M7, 5276
M, Marais, Alexis, M9, 10456
M, Vaillant, Claude, M5, 7657
M, Cornu, Serge, M6, 8420
M, Vilain, Jacques, M5, 7540
M, Sergent, Julien, M5, 5777
M, Canu, Georges, M3, 8623
M, Compagnon, Benoît, M1, 4250
M, Delacour, Jean-Pierre, M4, 3971
M, Gabriel, Xavier, M6, 7463
M, Rabier, Gérard, ELITE_2, 5389
M, Delacour, Guillaume, M6, 6413
M, Hardouin, Jean-François, ELITE_2, 9848
M, Delhaye, Emile, M3, 8721
M, Schwartz, Jean-Luc, M1, 6439
M, Savin, Roland, M8, 6742
M, Courtin, Hervé, M1, 6408
M, Chevrier, Louis, M7, 5948
M, Grand, Jean, M4, 10786
M, Garreau, Kevin, M1, 6673
M, Bo, Stéphane, M5, 6557
M, Granger, Romain, ELITE_2, 8521
M, Deprez, Jean-Michel, M6, 8222
M, Herman, Adrien, ELITE_2, 8898
M, Veron, René, M1, 4265
M, Pouliquen, Jacques, M5, 8415
M, Roman, Fabien, M9, 6942
M, Piat, Lionel, M1, 7052
M, Bachelet, Emmanuel, ELITE_2, 7902
M, Dulac, Thierry, ELITE_2, 7707
M, Daval, Albert, M3, 4445
M, Brachet, Henri, M1, 9012
M, Fraisse, Bruno, M4, 6562
M, Gallen, Jean, M6, 7146
M, Laude, Marcel, M6, 8530
M, Cabaret, Fabien, M4, 4506
M, Gueguen, Albert, M5, 4370
M, Baumann, Mathieu, ELITE_1, 5129
M, Rabier, Franck, M3, 4697
M, Boidin, Lucien, M2, 9177
M, Ravel, Albert, M7, 4649
M, Laurent, Thierry, ELITE_2, 6731
M, Mille, Romain, M5, 5773
M, Clerc, Adrien, M3, 9144
M, Jacquot, Benjamin, M3, 5140
M, Delamare, Joël, M2, 3621
M, Gerard, Guillaume, ELITE_2, 10097
M, Boudet, Christian, ELITE_1, 9923
M, Gourdon, Jean-Paul, M3, 8300
M, Fromont, Jérémy, M6, 7473
M, Rivet, Richard, M6, 4504
M, Grall, Adrien, M2, 9623
M, Jeannot, Sébastien, M5, 3980
M, Poli, Alexandre, M9, 4625
M, Walter, Jean-Marie, M2, 9782
M, Faivre, Patrick, M4, 5562
M, Pain, Hervé, M1, 4789
M, Dulac, Emile, M3, 4004
M, Marques, Marc, M7, 3829
M, Schmitt, Jacques, M3, 9347
M, Lesage, Adrien, M1, 9983
M, Lesueur, Xavier, M7, 10073
M, Dieu, Maurice, M9, 8316
M, Rose, Joël, M6, 6232
M, Dieu, Vincent, M7, 5902
M, Bertaux, Francis, M6, 4473
M, Cabot, Fabrice, M3, 4194
M, Fonteneau, Raymond, M4, 10596
M, Guillet, Guillaume, M6, 6749
M, Lahaye, Gérard, ELITE_2, 10001
M, Cote, Emmanuel, M9, 5373
M, Jestin, Franck, ELITE_2, 4816
M, Durand, Franck, ELITE_1, 8028
M, Lucas, Jean-Pierre, M2, 7000
M, Bauduin, Maurice, M1, 8970
M, Leclere, Daniel, M5, 10176
M, Gaucher, Stéphane, M2, 4676
M, Navarro, Anthony, M1, 7731
M, Gravier, Jean-Marc, M6, 5186
M, Robillard, Xavier, M4, 9174
M, Rosset, André, M6, 8540
M, James, Alexandre, ELITE_1, 6139
M, Lozano, Dominique, ELITE_2, 5149
M, Verhaeghe, Sylvain, ELITE_2, 5175
M, Rousselle, Franck, M8, 7414
M, Moi, Thierry, M3, 9379
M, Thibault, Thomas, M9, 4258
M, Ricci, Christian, M1, 5951
M, Salvador, Franck, M5, 9375
M, Babin, Lucien, M6, 6291
M, Comte, Claude, M2, 10723
M, Jullien, Mathieu, M2, 8423
M, Marchand, Emile, M7, 9251
M, Chatelet, Guillaume, M9, 4273
M, Demaret, Paul, ELITE_1, 3748
M, Le, Xavier, ELITE_2, 4469
M, Pires, Fabien, M6, 4714
M, Rizzo, Jean-Claude, ELITE_1, 7741
M, Bruneau, Sébastien, M1, 10511
M, Seguin, Eric, ELITE_2, 4979
M, Roussel, Julien, ELITE_2, 8594
M, Boutet, André, M2, 9927
M, Claude, Julien, ELITE_2, 3790
M, Ripoll, Jérôme, M9, 4932
M, Gontier, Gilles, M7, 9342
M, Couture, Georges, M8, 7088
M, Anquetil, Kevin, M4, 6382
M, Marais, Franck, M2, 8803
M, Thibaud, Marcel, M6, 7819
M, Lemaire, Cédric, M8, 3887
M, Masse, Michel, M7, 9936
M, Charvet, Marc, M2, 8478
M, Devos, Florian, M9, 7982
M, Sutter, Henri, M3, 3944
M, Pouget, Jean-Michel, ELITE_2, 7955
M, Roth, Guy, M3, 3819
M, Trouve, Henri, M9, 3910
M, Braun, Marc, ELITE_1, 9144
M, Saunier, David, M6, 3892
M, Habert, Arnaud, M5, 8159
M, Barriere, Marc, M2, 7580
M, Le, Ludovic, ELITE_2, 7292
M, Doucet, Claude, M7, 5940
M, Nourry, Alexandre, M5, 9731
M, Prudhomme, Henri, M7, 6735
M, Villeneuve, Jean-François, M9, 9435
M, Salomon, Patrice, M2, 5233
M, Lefebvre, Grégory, M9, 9062
M, Fosse, Dominique, ELITE_2, 4884
M, Vigouroux, Guy, M6, 5592
M, Boisson, Anthony, M5, 8578
M, Marx, Kevin, M4, 4329
M, Cousin, Mathieu, M8, 9039
M, Saby, Mickaël, ELITE_2, 8642
M, Jezequel, Henri, M7, 7463
M, Renaud, Daniel, M5, 5504
M, Boivin, Serge, ELITE_2, 6150
M, Pacaud, Francis, ELITE_2, 9880
M, Laval, René, M5, 9837
M, Chereau, Marc, ELITE_1, 10011
M, Seguin, Alexis, M2, 8921
M, Barth, Jean-François, M6, 7144
M, Gauthier, Jean-Michel, M2, 7987
M, Malet, Pierre, M6, 7164
M, Eyraud, Henri, M3, 8492
M, Chollet, Daniel, M2, 3956
M, Gachet, Benoît, M5, 6983
M, Jestin, Charles, M6, 5040
M, Mora, Guy, M3, 4697
M, Bossard, Antoine, M4, 7231
M, Decroix, Anthony, M3, 7135
M, Rieu, Maurice, M5, 7477
M, Mignon, Benjamin, M7, 6320
M, Perraud, Joseph, M7, 6318
M, Dassonville, Denis, M1, 5413
M, Huet, Eric, M2, 10723
M, Thouvenin, Frédéric, M9, 10096
M, Gaborit, René, M4, 7591
M, Gobert, Denis, M3, 6408
M, Benhamou, Mickaël, M7, 10068
M, Bouton, André, M6, 3760
M, Touati, Joseph, ELITE_2, 7653
M, Marti, Ludovic, ELITE_2, 5729
M, Langevin, Jean-Marie, M3, 5329
M, Benoist, Jean-François, M3, 9019
M, Ortiz, Thierry, ELITE_1, 7203
M, Lapeyre, Grégory, M9, 4354
M, Momo, Guillaume, M4, 5855
M, Houssin, Xavier, ELITE_1, 5478
M, Sueur, Arnaud, M4, 9519
M, Allais, Cédric, M1, 8910
M, Galy, Alain, ELITE_1, 9600
M, Munoz, Jean-Luc, M3, 9289
M, Boutry, Damien, ELITE_2, 5825
M, Duc, Richard, M8, 9200
M, Berthet, Emile, M2, 5948
M, Cochard, Jean-Pierre, M8, 4766
M, Perrault, Fabrice, M1, 9928
M, Autret, Jérémy, M3, 10209
M, Auge, Cédric, M8, 7274
M, Chauvet, Gilbert, ELITE_2, 9493
M, Bo, Clément, M2, 5362
M, Bardon, Guy, ELITE_1, 5392
M, Galland, Jérôme, M1, 6189
M, Favreau, André, M7, 9498
M, Baudoin, David, M4, 6008
M, Crespin, Frédéric, ELITE_2, 5196
M, Paoli, Maxime, ELITE_2, 5842
M, Fevrier, Bruno, M3, 6684
M, Cotte, Florian, M1, 8006
M, Froger, Olivier, M8, 9714
M, Pradel, Dominique, M3, 8326
M, Chapron, Yves, M5, 7243
M, Blanchet, Thierry, M6, 7069
M, Pinel, Joseph, M4, 6300
M, Gallen, Eric, M9, 8969
M, Peres, Anthony, M3, 5621
M, Labrousse, Bernard, M1, 8491
M, Langlais, Grégory, ELITE_1, 5672
M, Grimaud, Cyril, M8, 4898
M, Pierron, Jean, M3, 10461
M, Vinet, Jacques, ELITE_1, 4798
M, Nicol, Fabrice, M1, 5626
M, Le, Benoît, ELITE_2, 4847
M, Pinon, Loïc, M4, 5038
M, Duriez, Joël, ELITE_2, 6240
M, Jacquemin, Jean, M1, 6930
M, Dassonville, Henri, M4, 6223
M, Juan, Arnaud, M4, 9399
M, Godart, Marcel, M1, 9645
M, Vallon, André, M6, 4659
M, Mestre, Jean, M1, 10628
M, Vasseur, Adrien, M7, 8883
M, Chereau, Raymond, M2, 6283
M, Bastien, Guillaume, M6, 10290
M, Vernet, Denis, M7, 10613
M, Guillet, Arnaud, M9, 7686
M, Ruelle, Didier, M5, 4142
M, Carpentier, Jean-Paul, ELITE_1, 10695
M, Arnault, Mickaël, ELITE_1, 9994
M, Le, Jean-Michel, ELITE_2, 7665
M, Bouteille, Jean, M2, 8568
M, Pignon, Mathieu, M3, 6683
M, Caro, Anthony, M7, 10765
M, Daval, Jean-Luc, M2, 3747
M, Noury, Frédéric, M2, 7198
M, Blandin, David, M4, 6666
M, Chauveau, Stéphane, M9, 6558
M, Wolff, Gilbert, M6, 9118
M, Gautheron, Christian, M9, 8384
M, George, Jean-Luc, M7, 5782
M, Hebert, Dominique, M7, 9642
M, Prigent, Jérôme, ELITE_2, 7331
M, Allain, Cédric, M1, 8858
M, Leclercq, Lionel, M8, 7216
M, Le, Lucien, M4, 6724
M, Carrere, Jean-Claude, M5, 6121
M, Comte, Emile, M1, 3891
M, Wiart, Lionel, M5, 4884
M, Barre, Thomas, M3, 4996
M, Thouvenin, Damien, M1, 7253
M, Pernot, Jean-Pierre, M6, 6015
M, Saby, Clément, M4, 4536
M, Bernard, Cyril, M5, 8718
M, Guiot, Lionel, M1, 6829
M, Dejardin, Jean-Pierre, M8, 4667
M, Pichot, Gilbert, M1, 9427
M, Rousseau, Jérémy, M1, 5280
M, Gonnet, Eric, M9, 7050
M, Ortiz, Benjamin, ELITE_1, 3724
M, Clavier, Nicolas, ELITE_2, 5770
M, George, Serge, M7, 10319
M, Berard, Raymond, M7, 5269
M, James, Pierre, M3, 5922
M, Coudert, Paul, M7, 7236
M, Le, Sylvain, M3, 6466
M, Potel, Roland, M3, 9412
M, Favre, Xavier, M4, 6150
M, Durieux, Jean-Pierre, ELITE_1, 4349
M, Kohler, Alexandre, M6, 5352
M, Brasseur, Alexandre, M9, 4221
M, Beaugrand, Jonathan, M4, 4276
M, Duval, Benjamin, M6, 7973
M, Gallo, Daniel, M5, 4419
M, Declercq, Francis, M4, 3628
M, Ramon, Alexandre, M4, 10094
M, Grange, Patrice, M5, 10648
M, Granier, Paul, M8, 6046
M, Villette, Jonathan, M4, 9772
M, Letellier, Albert, ELITE_2, 8209
M, Maes, Jonathan, M8, 5227
M, Cadot, Michel, M6, 4028
M, Grondin, Maxime, M6, 3934
M, Wagner, Pierre, M3, 5879
M, Delalande, Nicolas, M2, 6458
M, Chapuis, Patrick, M9, 5226
M, Leleu, Julien, ELITE_1, 9523
M, Fourcade, Vincent, M4, 6745
M, Chambon, Bernard, M1, 3632
M, Gontier, Henri, M6, 3658
M, Dubus, Vincent, M4, 3934
M, Leonard, Fabien, M8, 4075
M, Laurent, Paul, M5, 4782
M, Le, Xavier, ELITE_1, 4375
M, Lebel, Philippe, M7, 7070
M, Bisson, Jean-Michel, M4, 10117
M, Chauvel, Franck, M1, 6104
M, Cros, Emmanuel, M4, 6173
M, Chassagne, Thomas, M5, 3602
M, Lafarge, Denis, M5, 9376
M, Pellet, Mathieu, M7, 6277
M, Cordonnier, Jean, M9, 5292
M, Ferron, Christophe, M9, 5616
M, Humeau, Daniel, M3, 8698
M, Santoni, Jérôme, ELITE_1, 6993
M, Delorme, Jean-Paul, M8, 4472
M, Marque, Vincent, M1, 9181
M, Leca, Serge, M4, 8148
M, Chiron, Charles, M8, 5444
M, Theron, Emile, ELITE_1, 6213
M, Picot, Paul, M8, 4880
M, Brossard, Maxime, M4, 4763
M, Roulet, Serge, M1, 4901
M, Fleury, Denis, M9, 7176
M, Monin, Albert, M7, 8122
M, Nedelec, Christian, M7, 6189
M, Guerineau, Marc, M3, 9009
M, Cabot, Patrick, M3, 5169
M, Bricout, Hervé, M6, 5589
M, Menard, Alain, M5, 9314
M, Lang, Arnaud, ELITE_2, 5044
M, Delaunay, René, M2, 4403
M, Pannetier, David, ELITE_2, 10171
M, Pineau, Gilles, M3, 6786
M, Dubost, Patrice, M6, 9020
M, Thiriet, Robert, M7, 6152
M, Henriot, Fabrice, M2, 6222
M, Reymond, Daniel, M5, 4959
M, Guillon, Roland, M3, 8733
F, Long, Anna, M9, 5221
F, Couturier, Julia, M9, 10033
F, Vignon, Justine, ELITE_2, 7174
F, Jacques, Lily, ELITE_2, 4381
F, Balland, Capucine, M5, 4621
F, Gazeau, Maeva, ELITE_2, 3676
F, Bobo, Cloe, ELITE_1, 4517
F, Ortega, Jeanne, ELITE_2, 5235
F, Mathey, Eloise, M5, 5365
F, Bayle, Lola, M2, 3782
F, Lecuyer, Anna, M6, 4399
F, Leclercq, Emma, M3, 4762
F, George, Anna, M7, 9383
F, Le, Julia, M6, 10323
F, Bernard, Loane, ELITE_1, 6870
F, Beraud, Faustine, M2, 7235
F, Neveu, Sara, M7, 3775
F, Grange, Ambre, M1, 6098
F, Grignon, Ambre, M2, 6839
F, Gillot, Cloe, M4, 8214
F, George, Celia, ELITE_2, 9681
F, Bertrand, Chloe, M3, 9851
F, Bordier, Lou, ELITE_2, 7342
F, Chatelain, Clemence, ELITE_2, 8975
F, Foret, Clarisse, M3, 6340
F, Flament, Noemie, M8, 5371
F, Escoffier, Julie, M3, 9497
F, Foulon, Melina, M9, 6551
F, Pinard, Margaux, M2, 9564
F, Gambier, Louna, M7, 6882
F, Chapelle, Chloe, M5, 5191
F, Segura, Coline, M9, 8330
F, Sene, Elise, M6, 9166
F, Gillet, Claire, ELITE_2, 3783
F, Piriou, Lise, M9, 5492
F, Barthe, Juliette, M9, 7549
F, Clavel, Elsa, M1, 9767
F, Poncet, Lena, M5, 8362
F, Ortiz, Nina, M3, 9549
F, Durant, Justine, M1, 6916
F, Mouret, Juliette, M8, 9425
F, Bonnot, Marine, M4, 9135
F, Mathis, Fanny, M5, 10721
F, Papon, Manon, M9, 4982
F, Godet, Louane, M5, 4827
F, Pajot, Emma, ELITE_2, 3687
F, Polo, Fanny, M3, 8052
F, Graff, Lana, ELITE_2, 5914
F, Salle, Margot, M7, 4625
F, Chabanne, Eloise, M2, 3986
F, Marechal, Melissa, ELITE_2, 5722
F, Vallee, Laura, ELITE_1, 10729
F, Jegou, Meline, M5, 6713
F, Chabaud, Margaux, M1, 4498
F, Gutierrez, Lilou, M5, 4269
F, Chabaud, Louane, M3, 5518
F, Blouin, Clemence, ELITE_1, 7538
F, Beaulieu, Lea, M7, 4582
F, Blin, Gabrielle, M2, 7716
F, Nguyen, Claire, ELITE_1, 8925
F, Roch, Louane, M3, 5391
F, Adam, Luna, M3, 6314
F, Brochard, Eloise, ELITE_1, 5573
F, Baudin, Gabrielle, M5, 4722
F, Seite, Adele, ELITE_1, 8713
F, Provost, Elise, M8, 7623
F, Potin, Eloise, M5, 3850
F, Neuville, Noemie, M8, 5693
F, Pasquier, Clarisse, ELITE_1, 10476
F, Vautrin, Salome, M4, 8565
F, Chatelet, Laura, M1, 3824
F, Lacoste, Eloise, M5, 10160
F, La, Marine, M5, 6090
F, Calvet, Lana, M6, 3926
F, Bernet, Sofia, M5, 5022
F, Lo, Elena, M4, 8917
F, Gibert, Laurine, ELITE_2, 7573
F, Ribot, Nina, M8, 9604
F, Chauvet, Lina, M1, 7101
F, Blais, Andrea, M7, 5572
F, Laurent, Marine, M7, 9976
F, Marti, Yasmine, M6, 8261
F, Tissier, Luna, ELITE_1, 10336
F, Marin, Chloe, M2, 8064
F, Garin, Amelie, M3, 8691
F, Philippe, Cloe, M8, 8988
F, Vannier, Noemie, M8, 8216
F, Pascal, Lana, M4, 8263
F, Dietrich, Agathe, M8, 6272
F, Bachelier, Ines, M8, 6592
F, Delmas, Eva, M1, 9599
F, Poulain, Margaux, M7, 9050
F, Betton, Amandine, M7, 10377
F, Bauduin, Ines, M4, 4513
F, Gonthier, Lilou, M4, 9880
F, Ferrier, Melina, M5, 7052
F, Cartier, Clara, M5, 9640
F, Luc, Loane, M9, 9565
F, Adam, Capucine, ELITE_1, 4592
F, Carle, Marion, M1, 3677
F, Berthier, Eva, M4, 9078
F, Dauphin, Lena, M2, 7408
F, Fayard, Lina, M7, 5661
F, Guiot, Clementine, ELITE_1, 5866
F, Rougier, Nina, M4, 3785
F, Gillot, Louna, M3, 8071
F, De, Noemie, M1, 9369
F, Ducos, Romane, M9, 6820
F, Brion, Leane, M5, 6170
F, Bizet, Sarah, M9, 3702
F, Kremer, Lea, M7, 8747
F, Meyer, Rose, M5, 4263
F, Roux, Clemence, M9, 5226
F, Segura, Emilie, M9, 5154
F, Diot, Lilou, M8, 9382
F, Roussel, Claire, M1, 8416
F, Cornet, Yasmine, M4, 6541
F, Neuville, Morgane, M1, 7688
F, Vautrin, Meline, ELITE_2, 8036
F, Camus, Capucine, ELITE_1, 7701
F, Nguyen, Emilie, M4, 7427
F, Cordier, Lena, M5, 3803
F, Lafargue, Lucie, M7, 4717
F, Clair, Coline, M2, 9388
F, Guinot, Lilou, M8, 5063
F, Dubos, Nina, M8, 9529
F, Herbin, Lilou, M3, 4320
F, Huchet, Clemence, ELITE_2, 5810
F, Souchon, Eloise, M3, 5330
F, Gauthier, Candice, M6, 9735
F, Foret, Romane, M4, 5607
F, Guilloux, Lola, M9, 9335
F, Doublet, Flavie, ELITE_1, 3645
F, Mignot, Melissa, M4, 5822
F, Poirot, Alicia, M2, 6733
F, Chretien, Sara, M6, 6818
F, Lepretre, Lina, M2, 8132
F, Malet, Zoe, M4, 9708
F, Joubert, Lina, ELITE_2, 7302
F, Prudhomme, Lily, M9, 6625
F, Mangin, Fanny, M4, 10744
F, Escoffier, Marie, M6, 7620
F, Langlois, Morgane, M7, 10300
F, Prunier, Charlotte, M5, 5110
F, Berne, Clementine, M3, 7209
F, Monteiro, Charlotte, M2, 4487
F, Borel, Emilie, ELITE_1, 8154
F, Gil, Heloise, M3, 7815
F, Huynh, Louane, M1, 7283
F, Lamotte, Jeanne, M7, 9659
F, Papon, Margaux, M6, 4855
F, Geoffroy, Charlotte, M2, 9691
F, Coudray, Melina, M9, 4902
F, Santos, Margot, M8, 8878
F, Gil, Margot, ELITE_2, 7161
F, Blanchard, Leane, M1, 9600
F, Pires, Lilou, M1, 6767
F, Colas, Cassandra, M9, 9068
F, Weiss, Louise, M2, 7854
F, Ferrari, Elise, M5, 4337
F, Lafargue, Louane, M3, 7587
F, Bouillet, Lily, M7, 6421
F, Lagadec, Morgane, M4, 6336
F, Grignon, Cassandra, M4, 5479
F, Bouet, Lily, M1, 5073
F, Feret, Olivia, M9, 4875
F, Boisseau, Celia, M5, 9475
F, Guillotin, Anna, M6, 8049
F, Roze, Emilie, M5, 5590
F, Renaudin, Cassandra, M7, 7193
F, Dumortier, Eloise, M5, 8728
F, Lagrange, Louane, M1, 7336
F, Danel, Ninon, ELITE_2, 6255
F, Bachelier, Salome, M2, 7224
F, Dion, Yasmine, ELITE_2, 4448
F, Barth, Marion, M7, 7889
F, Poncet, Adele, ELITE_1, 8506
F, Descamps, Alicia, ELITE_1, 6996
F, Portal, Sarah, M9, 5974
F, Marchal, Sara, ELITE_2, 8407
F, Gallet, Juliette, M3, 9087
F, Berthelot, Angelina, ELITE_1, 9626
F, Bonnard, Emma, M4, 8681
F, Serra, Andrea, ELITE_1, 6306
F, Perrot, Nina, M1, 6580
F, Gaucher, Fanny, M4, 6455
F, Leloup, Chloe, M9, 5275
F, Clouet, Lana, M3, 3757
F, Delanoe, Clementine, M4, 4584
F, Chevallier, Maelys, M2, 10034
F, Guillaume, Ambre, M2, 10093
F, Gross, Rose, M4, 9192
F, Barra, Morgane, M1, 8818
F, Guy, Rose, M8, 10795
F, Mallard, Alice, ELITE_1, 7608
F, Roy, Marion, M3, 4543
F, Beaulieu, Gabrielle, M5, 10080
F, Simoes, Charlotte, ELITE_1, 9798
F, Pouvreau, Anna, M6, 5687
F, Guillaumin, Gabrielle, M9, 9538
F, Silvestre, Leonie, ELITE_2, 4553
F, Cathala, Elsa, M3, 9637
F, Nivet, Juliette, M2, 7814
F, Blot, Sarah, ELITE_1, 7123
F, Lemaitre, Maelle, M7, 10473
F, Henon, Lise, ELITE_2, 8461
F, Pradel, Nina, ELITE_1, 7158
F, Basset, Laura, M4, 8324
F, Blanco, Valentine, M1, 8448
F, Ory, Clemence, M4, 7054
F, Fauvel, Morgane, M9, 8259
F, Raymond, Candice, M6, 4454
F, Blouin, Agathe, M7, 5976
F, Gaucher, Julia, M5, 9108
F, Dugast, Flavie, M6, 7281
F, Lebas, Sara, M4, 6491
F, Mulot, Flavie, M8, 5877
